examy,cat_age,1,2,3
1979,1,0.927884615384615,0.0625,0.00961538461538462
1980,1,0.938202247191011,0.0449438202247191,0.0168539325842697
1981,1,0.923529411764706,0.0411764705882353,0.0352941176470588
1982,1,0.922619047619048,0.0238095238095238,0.0535714285714286
1983,1,0.9,0.0714285714285714,0.0285714285714286
1984,1,0.951338199513382,0.0316301703163017,0.0170316301703163
1985,1,0.932849364791289,0.0471869328493648,0.0199637023593466
1986,1,0.962154294032023,0.0189228529839884,0.0189228529839884
1987,1,0.95128552097429,0.0230040595399188,0.0257104194857916
1988,1,0.967948717948718,0.0205128205128205,0.0115384615384615
1989,1,0.963785046728972,0.0163551401869159,0.0198598130841121
1990,1,0.956521739130435,0.0268542199488491,0.0166240409207161
1991,1,0.957091775923719,0.0250297973778308,0.0178784266984505
1992,1,0.941241685144124,0.0177383592017738,0.041019955654102
1993,1,0.915273132664437,0.0345596432552954,0.0501672240802676
1994,1,0.893491124260355,0.0394477317554241,0.0670611439842209
1995,1,0.894394800974817,0.0422420796100731,0.0633631194151097
1996,1,0.911026615969582,0.023574144486692,0.0653992395437262
1997,1,0.891820580474934,0.0408970976253298,0.0672823218997362
1998,1,0.886840432294978,0.0432294977749523,0.0699300699300699
1999,1,0.873671782762692,0.0413223140495868,0.0850059031877214
2000,1,0.852186311787072,0.0480038022813688,0.0998098859315589
2001,1,0.841658812441093,0.0461828463713478,0.112158341187559
2002,1,0.837755545889517,0.056981296215746,0.105263157894737
2003,1,0.842899036447424,0.0431503979891077,0.113950565563469
2004,1,0.833264033264033,0.0561330561330561,0.110602910602911
2005,1,0.827779507941451,0.04827156649019,0.123948925568359
2006,1,0.843652813118462,0.0486287814532089,0.107718405428329
2007,1,0.837707552222817,0.0559721478307445,0.106320299946438
2008,1,0.839440559440559,0.0523076923076923,0.108251748251748
2009,1,0.829554995801847,0.054575986565911,0.115869017632242
2010,1,0.836142580823432,0.0453163857419177,0.11854103343465
2011,1,0.805375073833432,0.0469580626107501,0.147666863555818
2012,1,0.798248263364542,0.0380549682875264,0.163696768347931
