examy,cat_age,1,2,3
1979,2,0.912087912087912,0.043956043956044,0.043956043956044
1980,2,0.889908256880734,0.055045871559633,0.055045871559633
1981,2,0.814432989690722,0.0927835051546392,0.0927835051546392
1982,2,0.854545454545454,0.0909090909090909,0.0545454545454545
1983,2,0.883561643835616,0.0342465753424658,0.0821917808219178
1984,2,0.902027027027027,0.0574324324324324,0.0405405405405405
1985,2,0.917098445595855,0.0569948186528497,0.0259067357512953
1986,2,0.924276169265033,0.0579064587973274,0.0178173719376392
1987,2,0.927107061503417,0.0501138952164009,0.0227790432801822
1988,2,0.935018050541516,0.0451263537906137,0.01985559566787
1989,2,0.937381404174573,0.0379506641366224,0.0246679316888046
1990,2,0.939278937381404,0.0493358633776091,0.0113851992409867
1991,2,0.918228279386712,0.0323679727427598,0.0494037478705281
1992,2,0.907590759075908,0.0627062706270627,0.0297029702970297
1993,2,0.890014471780029,0.0578871201157742,0.0520984081041968
1994,2,0.877314814814815,0.0555555555555556,0.0671296296296296
1995,2,0.89689578713969,0.0631929046563193,0.0399113082039911
1996,2,0.887608069164265,0.0662824207492795,0.0461095100864553
1997,2,0.897023330651649,0.0555108608205953,0.0474658085277554
1998,2,0.875,0.0728527607361963,0.0521472392638037
1999,2,0.876231527093596,0.0683497536945813,0.0554187192118227
2000,2,0.813291139240506,0.0833333333333333,0.10337552742616
2001,2,0.814070351758794,0.0863407948835084,0.0995888533576976
2002,2,0.811102236421725,0.0866613418530351,0.10223642172524
2003,2,0.805913570887036,0.101213040181956,0.0928733889310083
2004,2,0.779591836734694,0.117996289424861,0.102411873840445
2005,2,0.798180784536669,0.114269471290506,0.0875497441728255
2006,2,0.793599257884972,0.112012987012987,0.0943877551020408
2007,2,0.79532403609516,0.114232977850697,0.0904429860541427
2008,2,0.803474045647344,0.111492627751969,0.0850333266006867
2009,2,0.808473592571097,0.10272780034823,0.0887986070806732
2010,2,0.803372939823687,0.108662322729015,0.0879647374472978
2011,2,0.803128576879054,0.103395650515071,0.0934757726058756
2012,2,0.802202202202202,0.0950950950950951,0.102702702702703
